,case_date,state,cases,deaths,state_abbreviation,status,restriction_start,restriction_end,status_details,external_link,population,country,county,date,type
0,2020-01-21,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
1,2020-01-22,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
2,2020-01-23,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
3,2020-01-24,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
4,2020-01-25,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
5,2020-01-26,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
6,2020-01-27,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
7,2020-01-28,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
8,2020-01-29,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
9,2020-01-30,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
